Book Name,Author,Rating,Customers_Rated,Price
The Premonition: A Pandemic Story,Michael Lewis,-1.0,0,21.49
American Marxism,Mark R. Levin,-1.0,0,17.43
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,4.2,74,17.39
The Tyranny of Big Tech,Josh Hawley,-1.0,0,23.99
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9,1833,15.59
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8,54128,5.77
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,39942,11.98
Shadow and Bone (Grisha Trilogy),Leigh Bardugo,4.4,9335,8.23
The Midnight Library: A Novel,Matt Haig,4.4,65212,13.29
"Oh, the Places You'll Go!",Dr. Seuss,4.9,22846,8.98
Great Circle: A novel,Maggie Shipstead,-1.0,0,22.09
The Four Winds: A Novel,Kristin Hannah,4.5,41887,17.39
Sooley: A Novel,John Grisham,4.5,688,17.96
"Siege and Storm (The Shadow and Bone Trilogy, 2)",Leigh Bardugo,4.4,5791,8.47
Come On Over!: Southern Delicious for Every Day and Every Occasion,Elizabeth Heiskell,-1.0,0,22.39
Pleasure of His Company,Dutch Sheets,4.9,479,12.81
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9,5148,8.38
World Travel: An Irreverent Guide,Anthony Bourdain,4.3,238,21.0
"Ruin and Rising (The Shadow and Bone Trilogy, 3)",Leigh Bardugo,4.6,5226,7.78
I Love You to the Moon and Back,Amelia Hepworth,4.9,31714,4.22
Beyond Order: 12 More Rules for Life,Jordan B. Peterson,4.9,3866,17.4
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,28622,11.4
"The Truth About COVID-19: Exposing The Great Reset, Lockdowns, Vaccine Passports, and the New Normal",Doctor Joseph Mercola,4.6,41,18.13
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7,48691,10.0
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9,71936,14.03
