Book Name,Author,Rating,Customers_Rated,Price
American Marxism,Mark R. Levin,-1,0,$28.00
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,3.6 out of 5 stars,8,$17.39
Pleasure of His Company,Dutch Sheets,4.9 out of 5 stars,461,$13.38
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8 out of 5 stars,"53,725",$5.38
Sooley: A Novel,John Grisham,4.4 out of 5 stars,22,$17.60
Shadow and Bone (Grisha Trilogy),Leigh Bardugo,4.4 out of 5 stars,"8,609",$8.23
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"39,352",$11.98
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9 out of 5 stars,"4,583",$8.38
The Midnight Library: A Novel,Matt Haig,4.4 out of 5 stars,"63,654",$13.29
"Siege and Storm (The Shadow and Bone Trilogy, 2)",Leigh Bardugo,4.4 out of 5 stars,"5,472",$8.47
"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"22,561",$8.98
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"31,273",$4.22
Clarity & Connection,Yung Pueblo,4.8 out of 5 stars,6,$10.90
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"28,376",$11.40
"Ruin and Rising (The Shadow and Bone Trilogy, 3)",Leigh Bardugo,4.5 out of 5 stars,"4,910",$7.64
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"45,836",$4.44
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"48,114",$10.00
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"22,614",$14.99
"You Are Your Best Thing: Vulnerability, Shame Resilience, and the Black Experience",Tarana Burke,5.0 out of 5 stars,3,$16.84
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"40,514",$5.06
The Four Winds: A Novel,Kristin Hannah,4.6 out of 5 stars,"40,208",$17.39
World Travel: An Irreverent Guide,Anthony Bourdain,4.1 out of 5 stars,166,$21.00
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"51,559",$5.51
Cecily Cicada: 2021 Edition,Kita Helmetag Murdock,4.8 out of 5 stars,25,$11.69
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9 out of 5 stars,"71,204",$14.03
Vegetable Simple: A Cookbook,Eric Ripert,3.8 out of 5 stars,42,$21.49
Cook This Book: Techniques That Teach and Recipes to Repeat: A Cookbook,Molly Baz,4.8 out of 5 stars,73,$19.50
"Unsettled: What Climate Science Tells Us, What It Doesn’t, and Why It Matters",Steven E. Koonin,-1,0,$15.61
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9 out of 5 stars,"1,563",$15.59
"The Truth About COVID-19: Exposing The Great Reset, Lockdowns, Vaccine Passports, and the New Normal",Doctor Joseph Mercola,5.0 out of 5 stars,1,$34.73
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.9 out of 5 stars,"3,497",$9.65
Don't Drop the Mic: The Power of Your Words Can Change the World,T. D. Jakes,4.9 out of 5 stars,125,$15.60
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"49,557",$7.59
Fault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,Voddie T. Baucham Jr.,4.9 out of 5 stars,895,$18.74
Untamed,Glennon Doyle,4.6 out of 5 stars,"47,629",$15.50
The Book of Mac: Remembering Mac Miller,Donna-Claire Chesman,-1,0,$28.00
2034: A Novel of the Next World War,Elliot Ackerman,4.1 out of 5 stars,"3,172",$16.29
Philip Roth: The Biography,Blake Bailey,4.4 out of 5 stars,74,$24.00
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7 out of 5 stars,"14,543",$9.63
How Y'all Doing?: Misadventures and Mischief from a Life Well Lived,Leslie Jordan,5.0 out of 5 stars,7,$21.59
"Out of Many, One: Portraits of America's Immigrants",George W. Bush,4.7 out of 5 stars,108,$22.80
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"28,828",$5.00
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",Megan Logan MSW LCSW,4.7 out of 5 stars,"2,616",$9.59
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,4.8 out of 5 stars,"20,768",$13.97
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6 out of 5 stars,"21,726",$15.15
Woman Evolve: Break Up with Your Fears and Revolutionize Your Life,Sarah Jakes Roberts,5.0 out of 5 stars,629,$14.99
They Both Die at the End,Adam Silvera,4.7 out of 5 stars,"9,832",$8.37
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8 out of 5 stars,"16,715",$8.99
Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,-1,0,$21.70
"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Dr. Nicole LePera,4.8 out of 5 stars,"2,201",$16.79
