Book Name,Author,Rating,Customers_Rated,Price
World Travel: An Irreverent Guide,Anthony Bourdain,3.9 out of 5 stars,62,$21.00
Billie Eilish,Billie Eilish,-1,0,$23.11
"Out of Many, One: Portraits of America's Immigrants",George W. Bush,4.6 out of 5 stars,39,$22.80
Cook This Book: Techniques That Teach and Recipes to Repeat: A Cookbook,Molly Baz,4.8 out of 5 stars,38,$19.50
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9 out of 5 stars,"3,838",$8.38
The Midnight Library: A Novel,Matt Haig,4.4 out of 5 stars,"61,536",$13.29
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"30,769",$3.59
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"38,752",$11.98
Shadow and Bone (Grisha Trilogy),Leigh Bardugo,4.4 out of 5 stars,"7,972",$8.23
101 Poems,Mr Gordon S McCulloch,5.0 out of 5 stars,"1,167",$7.99
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8 out of 5 stars,"53,234",$5.77
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"28,073",$11.40
Yearbook,Seth Rogen,-1,0,$22.99
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"40,230",$5.06
"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",Leigh Bardugo,4.7 out of 5 stars,"3,759",$21.93
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"47,566",$10.00
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"45,421",$4.44
The Four Winds: A Novel,Kristin Hannah,4.5 out of 5 stars,"37,920",$17.39
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9 out of 5 stars,"70,181",$14.03
"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"22,189",$8.98
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"22,280",$14.99
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.9 out of 5 stars,"2,968",$9.72
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"51,194",$5.51
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9 out of 5 stars,"1,252",$15.59
Don't Drop the Mic: The Power of Your Words Can Change the World,T. D. Jakes,4.9 out of 5 stars,55,$15.87
Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,-1,0,$21.85
The Crown of Gilded Bones (Blood And Ash Series),Jennifer L. Armentrout,4.8 out of 5 stars,"1,057",$13.44
The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step,Jeffrey Eisner,4.7 out of 5 stars,"18,364",$10.78
Fault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,Voddie T. Baucham Jr.,4.9 out of 5 stars,703,$15.86
"Siege and Storm (The Shadow and Bone Trilogy, 2)",Leigh Bardugo,4.4 out of 5 stars,"5,155",$9.89
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"28,598",$5.00
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"49,188",$7.59
"Jungle Night (comes with 2 free audio downloads, Yo-Yo Ma, cello) (Boynton on Board)",Sandra Boynton,4.6 out of 5 stars,140,$7.95
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",Megan Logan MSW LCSW,4.7 out of 5 stars,"2,473",$9.59
Clarity & Connection,Yung Pueblo,-1,0,$14.99
We Were Liars,E. Lockhart,4.6 out of 5 stars,"21,960",$5.99
They Both Die at the End,Adam Silvera,4.7 out of 5 stars,"9,473",$8.37
Woman Evolve: Break Up with Your Fears and Revolutionize Your Life,Sarah Jakes Roberts,5.0 out of 5 stars,493,$16.01
Rand McNally 2021 Large Scale Road Atlas (Rand McNally Road Atlas),Rand McNally,4.8 out of 5 stars,"14,520",$17.96
Sooley: A Novel,John Grisham,-1,0,$18.06
"Ruin and Rising (The Shadow and Bone Trilogy, 3)",Leigh Bardugo,4.5 out of 5 stars,"4,680",$9.89
"F*ck It, I'll Start Tomorrow: A True Story",Action Bronson,4.9 out of 5 stars,13,$19.56
