Book Name,Author,Rating,Customers_Rated,Price
World Travel: An Irreverent Guide,Anthony Bourdain,3.9 out of 5 stars,61,$21.00
Billie Eilish,Billie Eilish,-1,0,$23.11
"Out of Many, One: Portraits of America's Immigrants",George W. Bush,4.6 out of 5 stars,39,$22.80
Yearbook,Seth Rogen,-1,0,$22.99
101 Poems,Mr Gordon S McCulloch,5.0 out of 5 stars,"1,133",$7.99
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9 out of 5 stars,"3,835",$8.38
Cook This Book: Techniques That Teach and Recipes to Repeat: A Cookbook,Molly Baz,4.8 out of 5 stars,36,$19.50
The Midnight Library: A Novel,Matt Haig,4.4 out of 5 stars,"61,513",$13.29
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"38,750",$11.98
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"30,768",$3.59
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8 out of 5 stars,"53,233",$5.77
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"28,071",$11.40
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"40,230",$5.06
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"51,193",$5.51
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"47,567",$10.00
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"45,418",$4.44
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"22,280",$14.99
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9 out of 5 stars,"70,174",$14.03
"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"22,189",$8.98
Don't Drop the Mic: The Power of Your Words Can Change the World,T. D. Jakes,4.9 out of 5 stars,55,$15.87
The Four Winds: A Novel,Kristin Hannah,4.5 out of 5 stars,"37,913",$17.39
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9 out of 5 stars,"1,250",$15.59
The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step,Jeffrey Eisner,4.7 out of 5 stars,"18,360",$10.78
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.9 out of 5 stars,"2,965",$9.72
"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",Leigh Bardugo,4.7 out of 5 stars,"3,759",$28.97
"F*ck It, I'll Start Tomorrow: A True Story",Action Bronson,4.9 out of 5 stars,13,$19.56
Fault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,Voddie T. Baucham Jr.,4.9 out of 5 stars,698,$15.86
Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,-1,0,$21.85
Shadow and Bone (Grisha Trilogy),Leigh Bardugo,4.4 out of 5 stars,"7,971",$8.23
The Crown of Gilded Bones (Blood And Ash Series),Jennifer L. Armentrout,4.8 out of 5 stars,"1,045",$13.44
"Jungle Night (comes with 2 free audio downloads, Yo-Yo Ma, cello) (Boynton on Board)",Sandra Boynton,4.6 out of 5 stars,140,$7.95
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",Megan Logan MSW LCSW,4.7 out of 5 stars,"2,473",$9.59
Woman Evolve: Break Up with Your Fears and Revolutionize Your Life,Sarah Jakes Roberts,5.0 out of 5 stars,491,$16.01
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"28,596",$5.00
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"49,186",$7.59
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"34,956",$16.95
They Both Die at the End,Adam Silvera,4.7 out of 5 stars,"9,472",$8.37
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul…",Snoop Dogg,4.8 out of 5 stars,"15,914",$12.74
On the House: A Washington Memoir,John Boehner,4.3 out of 5 stars,549,$17.99
The Good Sister: A Novel,Sally Hepworth,4.5 out of 5 stars,"1,683",$16.79
Love You Forever,Robert Munsch,4.9 out of 5 stars,"34,661",$5.00
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8 out of 5 stars,"16,445",$8.99
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"27,092",$18.75
Philip Roth: The Biography,Blake Bailey,4.4 out of 5 stars,42,$24.00
Rand McNally 2021 Large Scale Road Atlas (Rand McNally Road Atlas),Rand McNally,4.8 out of 5 stars,"14,519",$17.96
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6 out of 5 stars,"21,241",$14.97
Clarity & Connection,Yung Pueblo,-1,0,$14.99
Sooley: A Novel,John Grisham,-1,0,$18.06
Untamed,Glennon Doyle,4.6 out of 5 stars,"47,305",$15.50
Goodnight Moon,Margaret Wise Brown,4.9 out of 5 stars,"16,491",$5.00
