Book Name,Author,Rating,Customers_Rated,Price
The Last Thing He Told Me: A Novel,Laura Dave,4.4,63,16.88
American Marxism,Mark R. Levin,-1.0,0,17.44
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,4.5,151,17.39
Killing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10,19.98
The Premonition: A Pandemic Story,Michael Lewis,3.2,21,21.49
Crisis Preparedness Handbook: A Comprehensive Guide to Home Storage and Physical Survival,Patricia Spigarelli Aston,4.8,38,29.95
The Midnight Library: A Novel,Matt Haig,4.4,66362,13.29
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,40235,11.98
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8,54445,5.77
"The Truth About COVID-19: Exposing The Great Reset, Lockdowns, Vaccine Passports, and the New Normal",Doctor Joseph Mercola,4.7,95,18.45
"Oh, the Places You'll Go!",Dr. Seuss,4.9,23059,8.98
"Summer on the Bluffs: A Novel (Oak Bluffs, 1)",Sunny Hostin,4.5,9,22.49
The Four Winds: A Novel,Kristin Hannah,4.5,43067,17.39
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9,2007,15.59
Shadow and Bone (Grisha Trilogy),Leigh Bardugo,4.4,9917,8.23
The Tyranny of Big Tech,Josh Hawley,4.1,45,18.22
Project Hail Mary: A Novel,Andy Weir,4.7,126,18.04
Finding the Mother Tree: Discovering the Wisdom of the Forest,Suzanne Simard,5.0,2,21.66
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9,5487,8.38
I Love You to the Moon and Back,Amelia Hepworth,4.9,31981,4.22
Rebuilding Milo: The Lifter's Guide to Fixing Common Injuries and Building a Strong Foundation for Enhancing Performance,Dr. Aaron Horschig,4.9,1042,31.7
"Siege and Storm (The Shadow and Bone Trilogy, 2)",Leigh Bardugo,4.4,6073,8.47
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,28768,11.4
If Animals Kissed Good Night,Ann Whitford Paul,4.8,46409,4.44
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7,48950,10.0
"Ruin and Rising (The Shadow and Bone Trilogy, 3)",Leigh Bardugo,4.6,5443,7.78
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9,72429,14.03
Sooley: A Novel,John Grisham,4.5,1578,17.37
The Bench,Meghan The Duchess of Sussex,-1.0,0,15.99
Magnolia Table,Joanna Gaines,4.8,23054,16.43
The Very Hungry Caterpillar,Eric Carle,4.9,40959,5.06
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8,52075,5.51
Only For Me,Michelle Derrig,-1.0,0,13.99
