Book Name,Author,Rating,Customers_Rated,Price
We Were Liars,E. Lockhart,4.6 out of 5 stars,"22,323",$5.99
Man's Search for Meaning,Viktor E. Frankl,4.7 out of 5 stars,"31,322",$8.39
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"27,436",$18.75
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"35,474",$16.95
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"129,871",$9.98
How to Win Friends & Influence People,Dale Carnegie,4.7 out of 5 stars,"44,511",$10.40
The Song of Achilles: A Novel,Madeline Miller,4.7 out of 5 stars,"18,067",$10.35
Goodnight Moon,Margaret Wise Brown,4.9 out of 5 stars,"16,633",$5.00
"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",Leigh Bardugo,4.7 out of 5 stars,"3,859",$38.95
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series),Napoleon Hill,4.7 out of 5 stars,"47,660",$7.96
Crying in H Mart: A Memoir,Michelle Zauner,4.7 out of 5 stars,52,$16.17
Love You Forever,Robert Munsch,4.9 out of 5 stars,"34,949",$5.00
Antitrust: Taking on Monopoly Power from the Gilded Age to the Digital Age,Amy Klobuchar,3.5 out of 5 stars,2,$20.53
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,3.0 out of 5 stars,4,$17.45
The Invisible Life of Addie LaRue,V. E. Schwab,4.6 out of 5 stars,"23,210",$16.19
Rand McNally 2021 Large Scale Road Atlas (Rand McNally Road Atlas),Rand McNally,4.8 out of 5 stars,"14,682",$17.96
Think Again: The Power of Knowing What You Don't Know,Adam Grant,4.6 out of 5 stars,"3,083",$16.80
Carrying the Fire: An Astronaut's Journeys,Michael Collins,4.8 out of 5 stars,675,$17.95
Grumpy Monkey,Suzanne Lang,4.8 out of 5 stars,"13,507",$6.97
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7 out of 5 stars,"53,774",$8.89
What to Expect When You're Expecting,Heidi Murkoff,4.8 out of 5 stars,"18,176",$9.89
Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9 out of 5 stars,"23,236",$4.59
The Crown of Gilded Bones (Blood And Ash Series),Jennifer L. Armentrout,4.7 out of 5 stars,"3,309",$13.65
Carrying the Fire: An Astronaut's Journeys: 50th Anniversary Edition,Michael Collins,4.8 out of 5 stars,567,$27.25
Faucian Bargain: The Most Powerful and Dangerous Bureaucrat in American History,Steve Deace,4.8 out of 5 stars,"1,875",$14.68
The Vanishing Half: A Novel,Brit Bennett,4.4 out of 5 stars,"58,400",$16.20
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"48,997",$13.76
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7 out of 5 stars,"18,217",$8.99
It Ends with Us: A Novel,Colleen Hoover,4.7 out of 5 stars,"14,761",$10.59
Madam Speaker: Nancy Pelosi and the Lessons of Power,Susan Page,4.1 out of 5 stars,23,$23.79
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8 out of 5 stars,"17,557",$7.53
Get Untamed: The Journal (How to Quit Pleasing and Start Living),Glennon Doyle,-1,0,$19.99
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8 out of 5 stars,"14,309",$5.01
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8 out of 5 stars,"16,490",$13.19
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.7 out of 5 stars,"28,425",$8.51
From Blood and Ash (Blood And Ash Series),Jennifer L. Armentrout,4.7 out of 5 stars,"16,496",$12.46
A Gambling Man (An Archer Novel),David Baldacci,4.5 out of 5 stars,"1,315",$17.40
The Anthropocene Reviewed (Signed Edition): Essays on a Human-Centered Planet,John Green,-1,0,$21.66
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,4.7 out of 5 stars,"23,032",$14.29
The Outsiders,S. E. Hinton,4.8 out of 5 stars,"19,826",$5.89
"Six of Crows (Six of Crows, 1)",Leigh Bardugo,4.6 out of 5 stars,"9,783",$7.99
Magnolia Table,Joanna Gaines,4.8 out of 5 stars,"22,769",$16.59
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7 out of 5 stars,"36,459",$14.99
The Wonderful Things You Will Be,Emily Winfield Martin,4.9 out of 5 stars,"15,075",$10.76
"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",Sherri Duskey Rinker,4.9 out of 5 stars,"13,061",$7.66
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),Dav Pilkey,4.9 out of 5 stars,"34,663",$6.49
Nomadland,Jessica Bruder,4.5 out of 5 stars,"3,346",$11.19
The Nightingale: A Novel,Kristin Hannah,4.8 out of 5 stars,"65,877",$8.18
Good Company: A Novel,Cynthia D'Aprix Sweeney,4.0 out of 5 stars,830,$16.79
Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,Brené Brown,4.7 out of 5 stars,"10,087",$10.36
