Book Name,Author,Rating,Customers_Rated,Price
How to Be Human: An Autistic Man's Guide to Life,Jory Fleming,-1,0,$16.09
World Travel: An Irreverent Guide,Anthony Bourdain,3.9 out of 5 stars,81,$21.00
Don't Drop the Mic: The Power of Your Words Can Change the World,T. D. Jakes,4.9 out of 5 stars,68,$15.87
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9 out of 5 stars,"3,965",$8.38
"Out of Many, One: Portraits of America's Immigrants",George W. Bush,4.5 out of 5 stars,51,$22.80
The Midnight Library: A Novel,Matt Haig,4.4 out of 5 stars,"61,879",$13.29
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"30,868",$3.59
Shadow and Bone (Grisha Trilogy),Leigh Bardugo,4.4 out of 5 stars,"8,039",$8.23
"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",Leigh Bardugo,4.7 out of 5 stars,"3,778",$21.93
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"38,853",$11.98
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8 out of 5 stars,"53,337",$5.77
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"28,128",$11.40
Cook This Book: Techniques That Teach and Recipes to Repeat: A Cookbook,Molly Baz,4.8 out of 5 stars,43,$19.50
Billie Eilish,Billie Eilish,-1,0,$23.11
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"45,501",$4.44
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"40,275",$5.06
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9 out of 5 stars,"70,361",$14.03
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"22,336",$14.99
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"47,641",$10.00
101 Poems,Mr Gordon S McCulloch,5.0 out of 5 stars,"1,232",$7.99
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"51,281",$5.51
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.9 out of 5 stars,"3,050",$9.72
"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"22,261",$8.98
The Four Winds: A Novel,Kristin Hannah,4.5 out of 5 stars,"38,338",$17.39
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9 out of 5 stars,"1,307",$15.59
Clarity & Connection,Yung Pueblo,-1,0,$10.63
Yearbook,Seth Rogen,-1,0,$22.99
