Book Name,Author,Rating,Customers_Rated,Price
World Travel: An Irreverent Guide,Anthony Bourdain,3.9 out of 5 stars,61,$21.00
Billie Eilish,Billie Eilish,-1,0,$23.11
"Out of Many, One: Portraits of America's Immigrants",George W. Bush,4.6 out of 5 stars,39,$22.80
Cook This Book: Techniques That Teach and Recipes to Repeat: A Cookbook,Molly Baz,4.8 out of 5 stars,36,$19.50
Yearbook,Seth Rogen,-1,0,$22.99
Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9 out of 5 stars,"3,835",$8.38
101 Poems,Mr Gordon S McCulloch,5.0 out of 5 stars,"1,134",$7.99
The Midnight Library: A Novel,Matt Haig,4.4 out of 5 stars,"61,515",$13.29
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"30,768",$3.59
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"38,747",$11.98
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8 out of 5 stars,"53,233",$5.77
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"28,072",$11.40
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"40,230",$5.06
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"47,565",$10.00
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"45,418",$4.44
The Four Winds: A Novel,Kristin Hannah,4.5 out of 5 stars,"37,913",$17.39
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9 out of 5 stars,"70,177",$14.03
"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"22,189",$8.98
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"51,193",$5.51
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"22,280",$14.99
Don't Drop the Mic: The Power of Your Words Can Change the World,T. D. Jakes,4.9 out of 5 stars,55,$15.87
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9 out of 5 stars,"1,251",$15.59
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.9 out of 5 stars,"2,965",$9.72
Shadow and Bone (Grisha Trilogy),Leigh Bardugo,4.4 out of 5 stars,"7,971",$8.23
The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step,Jeffrey Eisner,4.7 out of 5 stars,"18,360",$10.78
"Jungle Night (comes with 2 free audio downloads, Yo-Yo Ma, cello) (Boynton on Board)",Sandra Boynton,4.6 out of 5 stars,140,$7.95
"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",Leigh Bardugo,4.7 out of 5 stars,"3,759",$28.97
Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,-1,0,$21.85
Fault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,Voddie T. Baucham Jr.,4.9 out of 5 stars,698,$15.86
The Crown of Gilded Bones (Blood And Ash Series),Jennifer L. Armentrout,4.8 out of 5 stars,"1,046",$13.44
"F*ck It, I'll Start Tomorrow: A True Story",Action Bronson,4.9 out of 5 stars,13,$19.56
Clarity & Connection,Yung Pueblo,-1,0,$14.99
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"28,597",$5.00
Woman Evolve: Break Up with Your Fears and Revolutionize Your Life,Sarah Jakes Roberts,5.0 out of 5 stars,491,$16.01
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"49,186",$7.59
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",Megan Logan MSW LCSW,4.7 out of 5 stars,"2,473",$9.59
Rand McNally 2021 Large Scale Road Atlas (Rand McNally Road Atlas),Rand McNally,4.8 out of 5 stars,"14,519",$17.96
Love You Forever,Robert Munsch,4.9 out of 5 stars,"34,661",$5.00
Sooley: A Novel,John Grisham,-1,0,$18.06
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"34,957",$16.95
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"27,092",$18.75
They Both Die at the End,Adam Silvera,4.7 out of 5 stars,"9,472",$8.37
The Good Sister: A Novel,Sally Hepworth,4.5 out of 5 stars,"1,683",$16.79
On the House: A Washington Memoir,John Boehner,4.3 out of 5 stars,549,$17.99
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6 out of 5 stars,"21,238",$14.97
Goodnight Moon,Margaret Wise Brown,4.9 out of 5 stars,"16,491",$5.00
A Gambling Man (An Archer Novel),David Baldacci,4.5 out of 5 stars,153,$17.40
Philip Roth: The Biography,Blake Bailey,4.4 out of 5 stars,42,$24.00
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8 out of 5 stars,"16,445",$8.99
Untamed,Glennon Doyle,4.6 out of 5 stars,"47,305",$15.50
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul…",Snoop Dogg,4.8 out of 5 stars,"15,914",$12.74
"Unsettled: What Climate Science Tells Us, What It Doesn’t, and Why It Matters",Steven E. Koonin,-1,0,$22.46
"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Dr. Nicole LePera,4.8 out of 5 stars,"1,821",$16.79
How to Win Friends & Influence People,Dale Carnegie,4.7 out of 5 stars,"44,089",$10.40
We Were Liars,E. Lockhart,4.6 out of 5 stars,"21,958",$5.99
"The Lighter Step-By-Step Instant Pot Cookbook: Easy Recipes for a Slimmer, Healthier You―With Photographs of Every Step",Jeffrey Eisner,4.9 out of 5 stars,500,$13.22
"Siege and Storm (The Shadow and Bone Trilogy, 2)",Leigh Bardugo,4.4 out of 5 stars,"5,155",$9.89
Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9 out of 5 stars,"23,071",$4.59
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"129,381",$9.98
Magnolia Table,Joanna Gaines,4.8 out of 5 stars,"22,576",$16.59
Vegetable Simple: A Cookbook,Eric Ripert,3.4 out of 5 stars,18,$21.00
"Dude Perfect 101 Tricks, Tips, and Cool Stuff",Dude Perfect,-1,0,$22.99
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series),Napoleon Hill,4.7 out of 5 stars,"47,179",$7.96
"Ruin and Rising (The Shadow and Bone Trilogy, 3)",Leigh Bardugo,4.5 out of 5 stars,"4,680",$9.89
"Song of Achilles, The",Madeline Miller,4.7 out of 5 stars,"17,677",$10.35
The World Needs More Purple People,Kristen Bell,4.8 out of 5 stars,"7,671",$10.15
Grumpy Monkey,Suzanne Lang,4.8 out of 5 stars,"13,334",$6.97
What to Expect When You're Expecting,Heidi Murkoff,4.8 out of 5 stars,"18,023",$9.89
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7 out of 5 stars,"53,117",$8.89
Madam Speaker: Nancy Pelosi and the Lessons of Power,Susan Page,3.8 out of 5 stars,7,$23.79
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,4.7 out of 5 stars,"1,696",$21.00
The Invisible Life of Addie LaRue,V. E. Schwab,4.6 out of 5 stars,"22,623",$16.19
Crying in H Mart: A Memoir,Michelle Zauner,4.7 out of 5 stars,13,$16.24
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6 out of 5 stars,"25,663",$9.97
"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",Sherri Duskey Rinker,4.9 out of 5 stars,"12,972",$7.66
Think Again: The Power of Knowing What You Don't Know,Adam Grant,4.6 out of 5 stars,"2,883",$16.80
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,4.7 out of 5 stars,"22,772",$14.29
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.7 out of 5 stars,"28,239",$8.51
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8 out of 5 stars,"16,367",$13.19
"Goodbye, Again: Essays, Reflections, and Illustrations",Jonny Sun,5.0 out of 5 stars,4,$16.99
Midnight Sun,Stephenie Meyer,4.8 out of 5 stars,"69,849",$13.32
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8 out of 5 stars,"17,464",$7.53
The Date Night Cookbook,Ned Fulmer,-1,0,$30.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"48,613",$13.76
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,-1,0,$20.27
The Vanishing Half: A Novel,Brit Bennett,4.4 out of 5 stars,"57,558",$16.20
Ocean Prey (A Prey Novel),John Sandford,4.7 out of 5 stars,"4,450",$18.98
Once Upon a Chef: Weeknight/Weekend: 70 Quick-Fix Weeknight Dinners + 30 Luscious Weekend Recipes,Jennifer Segal,-1,0,$27.49
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8 out of 5 stars,"14,194",$5.01
The Hero Code: Lessons Learned from Lives Well Lived,Admiral William H. McRaven,4.7 out of 5 stars,110,$13.60
The Complete Anti-Inflammatory Diet for Beginners: A No-Stress Meal Plan with Easy Recipes to Heal the Immune System,Dorothy Calimeris,4.4 out of 5 stars,"7,384",$11.64
Blood and Treasure: Daniel Boone and the Fight for America's First Frontier,Bob Drury,4.3 out of 5 stars,20,$20.99
Batman/Fortnite: Zero Point,Christos Gage,-1,0,$15.97
"1984 (Signet Classics), Book Cover May Vary",George Orwell,4.7 out of 5 stars,"43,595",$7.48
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7 out of 5 stars,"18,000",$8.99
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,4.7 out of 5 stars,64,$19.69
From Blood and Ash (Blood And Ash Series),Jennifer L. Armentrout,4.7 out of 5 stars,"16,006",$14.25
The Nightingale: A Novel,Kristin Hannah,4.8 out of 5 stars,"65,439",$8.18
